urban_context_city,inscription_count,letter_total_conservative,letter_total_interpretive,rank_by_inscription,rank_by_letter_cons,rank_by_letter_intr,delta_rank_cons,delta_rank_intr
Ausculum,13,594,1141,551,603,566,52,15
Lucus Augusti (Hispania Tarraconensis),13,808,1085,551,537,576,-14,25
Laumellum,13,857,1228,551,522,547,-29,-4
Nicaea,13,1041,1625,551,480,486,-71,-65
Onchesmus,13,333,562,551,713,710,162,159
Laodicea (Asia),13,940,1500,551,499,505,-52,-46
Lutetia,13,222,290,551,796,831,245,280
Verulae,13,1472,2867,551,413,377,-138,-174
Odessus,13,2248,3433,551,330,336,-221,-215
Dierna,13,227,444,551,792,760,241,209
Nuceria Camellaria,13,736,1182,551,556,555,5,4
Ardea,13,907,1329,551,510,531,-41,-20
Heraclea (Italia (III Lucania et Brutii)),12,497,772,563,636,649,73,86
Plestia,12,356,598,563,699,697,136,134
Delos,12,1465,1732,563,416,473,-147,-90
Cnossus,12,390,599,563,684,696,121,133
Nilopolis,12,4355,5461,563,202,236,-361,-327
Delphi,12,1333,1835,563,436,463,-127,-100
Iader,12,454,759,563,652,655,89,92
Limisa,12,1086,2726,563,475,391,-88,-172
Bulla Regia,12,2277,2962,563,324,371,-239,-192
Thespiae,12,580,764,563,608,654,45,91
Cabyle,12,751,1485,563,553,507,-10,-56
Remesiana,12,1102,1570,563,470,494,-93,-69
Saldae,12,1518,2172,563,407,437,-156,-126
Augustodurum,12,619,2416,563,597,414,34,-149
Ilipa,12,1016,1473,563,483,511,-80,-52
Croton,12,1115,1547,563,466,499,-97,-64
Deultum,12,2296,2950,563,319,373,-244,-190
Aphrodisias,12,17943,44678,563,36,19,-527,-544
Caesaromagus (Britannia),12,63,75,563,948,980,385,417
Messana,12,712,933,563,567,604,4,41
Melita,11,1164,1570,583,460,494,-123,-89
Thubursicum Bure,11,802,1169,583,540,557,-43,-26
Durovernum,11,196,304,583,812,824,229,241
Samothrace,11,1778,2272,583,378,425,-205,-158
Sena Gallica,11,357,593,583,695,700,112,117
Amasia,11,1113,2183,583,467,435,-116,-148
Curia,11,144,272,583,852,839,269,256
Carreum,11,531,974,583,625,597,42,14
Ris,11,283,735,583,748,661,165,78
Salacia,11,681,1031,583,580,588,-3,5
Vada Sabatia,10,308,566,593,729,707,136,114
Ilugo,10,566,1054,593,614,582,21,-11
Forentum,10,659,941,593,584,601,-9,8
Metulum,10,410,754,593,676,658,83,65
Vulci,10,524,892,593,627,614,34,21
Thelepte,10,500,1429,593,635,518,42,-75
Hydruntum,10,483,812,593,640,635,47,42
Faesulae,10,459,720,593,651,666,58,73
Vertillum,10,245,352,593,783,802,190,209
Carteia,10,448,729,593,654,663,61,70
Pontia,10,470,642,593,643,686,50,93
Antipolis,10,645,1385,593,592,524,-1,-69
Pollentia (Italia (V Picenum)),10,323,496,593,720,740,127,147
Thignica,10,1554,2738,593,403,389,-190,-204
Lugdunum Convenarum,9,438,975,607,663,595,56,-12
Compsa,9,659,1197,607,584,553,-23,-54
Noviomagus (Gallia Lugdunensis),9,67,71,607,941,984,334,377
Hortona,9,414,647,607,674,684,67,77
Nicopolis (Achaea),9,311,594,607,727,699,120,92
Norba Caesarina,9,464,882,607,647,617,40,10
Forum Cornelii,9,486,759,607,639,655,32,48
Tauromenium,9,977,2021,607,489,445,-118,-162
Iesso,9,619,810,607,597,637,-10,30
Aufidena,9,352,593,607,702,700,95,93
Uxama,9,332,559,607,714,712,107,105
Zeugma,9,327,586,607,716,703,109,96
Butuntum,9,335,690,607,710,674,103,67
Saena,9,462,747,607,650,659,43,52
Gerunda,9,426,1128,607,669,571,62,-36
Iuliomagus,9,246,395,607,781,783,174,176
Mopthensium,8,794,1545,623,543,501,-80,-122
Dea Augusta Vocontiorum,8,763,1148,623,549,563,-74,-60
Halaesa,8,214,376,623,802,791,179,168
Amphipolis,8,640,935,623,594,603,-29,-20
Corinthia,8,129,312,623,868,819,245,196
Centuripae,8,830,1326,623,527,532,-96,-91
Philadelphia (Asia),8,1101,1257,623,471,539,-152,-84
Meninx,8,819,1472,623,533,512,-90,-111
Gracchuris,8,110,208,623,886,877,263,254
Rusicada,8,552,879,623,617,620,-6,-3
Aquincum,8,694,1098,623,575,573,-48,-50
Byzantium,8,716,940,623,566,602,-57,-21
Sparta,8,920,1143,623,507,564,-116,-59
Aceruntia,8,399,687,623,679,676,56,53
Caelia,8,274,464,623,756,753,133,130
Isurium,8,153,277,623,843,838,220,215
Ugultunia,8,357,670,623,695,678,72,55
Aesis,8,329,545,623,715,719,92,96
Baelo,8,287,527,623,743,727,120,104
Barcino,8,144,228,623,852,861,229,238
Elephantine,8,1533,2327,623,406,419,-217,-204
Uxentum,7,206,364,644,807,796,163,152
Portus Magnus,7,565,1005,644,615,591,-29,-53
Margum,7,395,1137,644,682,568,38,-76
Scythopolis,7,571,1038,644,612,586,-32,-58
Glanum,7,589,810,644,604,637,-40,-7
Sicca Veneria,7,419,771,644,671,650,27,6
Sisapo,7,95,219,644,907,867,263,223
Forum Segusiavorum,7,584,1159,644,606,558,-38,-86
Savaria,7,1775,2300,644,379,423,-265,-221
Alebaece,7,254,558,644,771,714,127,70
Utica,7,405,538,644,677,722,33,78
Thibilis,7,934,1317,644,501,533,-143,-111
Avitta,7,1270,2306,644,448,420,-196,-224
Libisosa,7,305,458,644,732,754,88,110
Forum Iulii (Gallia Narbonensis),7,355,575,644,700,704,56,60
Lissus,7,442,788,644,659,644,15,0
Mago,7,608,930,644,599,606,-45,-38
Emmaus,7,326,607,644,717,693,73,49
Avaricum,7,275,564,644,755,709,111,65
Venta Icenorum,7,522,676,644,628,677,-16,33
Tralles,7,878,1412,644,516,520,-128,-124
Myrtilis,7,253,415,644,773,772,129,128
Tingis,7,808,1344,644,537,529,-107,-115
Parium,7,357,569,644,695,705,51,61
Antiochia (Syria),7,527,799,644,626,641,-18,-3
Cluana,7,212,264,644,803,846,159,202
Castrum Novum (Italia (V Picenum)),7,350,591,644,705,702,61,58
Petuaria,7,197,424,644,811,766,167,122
Tarsatica,7,310,530,644,728,724,84,80
Baeterrae,6,284,448,673,747,759,74,86
Scodra,6,226,427,673,794,764,121,91
Salpensa,6,501,780,673,634,647,-39,-26
Sidon,6,690,1207,673,576,550,-97,-123
Synnada,6,360,561,673,693,711,20,38
Scolacium,6,246,403,673,781,778,108,105
Mascula,6,322,817,673,721,632,48,-41
Malaca,6,5372,6493,673,167,217,-506,-456
Tucci,6,27,30,673,1004,1017,331,344
Mediolanum (Gallia Aquitania),6,809,1462,673,536,514,-137,-159
Buxentum,6,294,451,673,739,757,66,84
Bisica,6,550,1041,673,619,584,-54,-89
Saletio,6,159,364,673,837,796,164,123
Cosilinum,6,384,639,673,687,687,14,14
Dyme,6,244,349,673,784,804,111,131
Munigua,6,1261,1583,673,449,492,-224,-181
Anxa,6,235,410,673,788,775,115,102
Apollonia (Macedonia),6,232,323,673,789,815,116,142
Apollonia (Lycia et Pamphylia) (1),6,416,1138,673,672,567,-1,-106
Durnovaria,6,138,238,673,858,859,185,186
Diocletianopolis,6,1723,2434,673,386,410,-287,-263
Morgantina,6,257,292,673,767,830,94,157
Cornus,6,539,733,673,621,662,-52,-11
Virunum,6,109,180,673,888,893,215,220
Venta Belgarum,6,92,138,673,910,924,237,251
Condevicnum,6,237,389,673,787,786,114,113
Iamo,6,135,192,673,862,886,189,213
Abdera (Thracia),5,315,455,700,724,755,24,55
Hasta Regia,5,133,304,700,863,824,163,124
Treba,5,657,933,700,587,604,-113,-96
Zela,5,826,1811,700,530,467,-170,-233
Cillium,5,4839,5456,700,188,237,-512,-463
Comana,5,687,1092,700,577,574,-123,-126
Ossonoba,5,276,414,700,754,773,54,73
Corcyra,5,342,1239,700,708,541,8,-159
Celaenae,5,442,860,700,659,624,-41,-76
Neapaphus,5,386,553,700,686,715,-14,15
Nertobriga,5,167,310,700,829,821,129,121
Byblos,5,357,637,700,695,688,-5,-12
Eleusis,5,828,975,700,529,595,-171,-105
Alsium,5,508,792,700,632,643,-68,-57
Nabrissa,5,130,209,700,867,876,167,176
Mytilene,5,187,205,700,818,879,118,179
Rusguniae,5,376,628,700,688,689,-12,-11
Bagacum,5,281,424,700,749,766,49,66
Unknown (4),5,99,278,700,902,837,202,137
Adria,5,186,316,700,819,817,119,117
Argos (Achaea) (2),5,271,377,700,758,790,58,90
Attalea,5,706,786,700,570,645,-130,-55
Vardagate,5,855,1154,700,524,561,-176,-139
Augustoritum,5,247,355,700,779,800,79,100
Baccanae,5,257,403,700,767,778,67,78
Soluntum,5,33,41,700,995,1008,295,308
Frusino,5,682,880,700,579,619,-121,-81
Alba Helviorum,5,209,418,700,804,771,104,71
Autricum,5,986,1087,700,488,575,-212,-125
Forum Hadriani,5,45,125,700,975,930,275,230
Crexa,4,90,147,730,913,913,183,183
Apamea (Bithynia et Pontus),4,393,651,730,683,682,-47,-48
Ebora,4,319,545,730,723,719,-7,-11
Calama,4,447,719,730,655,668,-75,-62
Aquae Flaviae,4,247,723,730,779,665,49,-65
Tunisa,4,376,654,730,688,680,-42,-50
Elaeussa,4,265,482,730,762,746,32,16
Tyana,4,215,481,730,801,747,71,17
Cabellio,4,190,329,730,814,813,84,83
Althiburos,4,369,624,730,691,690,-39,-40
Lychnidus,4,280,454,730,750,756,20,26
Lyctus,4,2521,2704,730,304,393,-426,-337
Blaundus,4,268,549,730,760,717,30,-13
Thibiuca,4,341,767,730,709,651,-21,-79
Madauros,4,647,835,730,590,628,-140,-102
Sagalassus,4,464,806,730,647,639,-83,-91
Lystra,4,179,495,730,824,741,94,11
Amastris,4,516,891,730,630,615,-100,-115
Pitinum Mergens,4,196,300,730,812,828,82,98
Mauves,4,582,881,730,607,618,-123,-112
Edessa,4,399,550,730,679,716,-51,-14
Nesactium,4,257,403,730,767,778,37,48
Neretum,4,798,888,730,541,616,-189,-114
Cassandrea,4,128,202,730,869,880,139,150
Cartenna,4,190,539,730,814,721,84,-9
Picentia,4,304,475,730,734,749,4,19
Tigava,4,351,698,730,703,671,-27,-59
Apisa Maius,4,250,529,730,774,725,44,-5
Chalcedon,4,248,559,730,778,712,48,-18
Thuburnica,4,441,817,730,661,632,-69,-98
Antipatris,4,238,525,730,786,729,56,-1
Acmonia,4,2353,2617,730,315,400,-415,-330
Cibyra,4,437,651,730,664,682,-66,-48
Heraclea (Asia) (2),4,654,1149,730,588,562,-142,-168
Seria,4,146,244,730,851,854,121,124
Siarum,4,2711,6731,730,288,209,-442,-521
Larisa (Achaea),4,208,354,730,805,801,75,71
Laodicea (Syria),4,573,765,730,610,652,-120,-78
Attacum,4,127,286,730,870,833,140,103
Vaga,4,305,601,730,732,695,2,-35
Ilium,4,153,312,730,843,819,113,89
Sufes,4,445,795,730,656,642,-74,-88
Valentia (Italia (IX Liguria)),4,326,515,730,717,733,-13,3
Valentia (Gallia Narbonensis),4,202,467,730,810,752,80,22
Adraha,4,443,694,730,658,673,-72,-57
Argentomagus,4,68,83,730,939,973,209,243
Iria,4,68,91,730,939,964,209,234
Avennio,4,133,168,730,863,901,133,171
Graviscae,4,147,246,730,849,853,119,123
Smyrna,4,1017,1203,730,482,552,-248,-178
Bida,4,183,257,730,820,850,90,120
Lebedus,4,537,720,730,622,666,-108,-64
Bantia,4,207,268,730,806,844,76,114
Visentium,4,304,435,730,734,762,4,32
Labicum,3,263,413,784,763,774,-21,-10
Limonum,3,107,390,784,893,785,109,1
Fregenae,3,114,211,784,881,872,97,88
Leusaba,3,83,145,784,927,915,143,131
Silvium,3,159,232,784,837,860,53,76
Balsa,3,354,503,784,701,737,-83,-47
Bargylia,3,325,610,784,719,692,-65,-92
Alesia,3,79,120,784,930,937,146,153
Isca,3,15,19,784,1024,1025,240,241
Uluzibbira,3,188,422,784,817,769,33,-15
Acci,3,230,407,784,791,776,7,-8
Segermes,3,227,373,784,792,792,8,8
Tarsus,3,290,304,784,741,824,-43,40
Prusias,3,736,922,784,556,609,-228,-175
Boutae,3,138,313,784,858,818,74,34
Pyrgi,3,173,226,784,826,863,42,79
Amathus,3,260,427,784,765,764,-19,-20
Sala,3,205,347,784,808,806,24,22
Magnesia (Asia) (2),3,287,358,784,743,798,-41,14
Consentia,3,133,171,784,863,900,79,116
Cremna,3,286,526,784,746,728,-38,-56
Patara,3,440,518,784,662,732,-122,-52
Thabraca,3,152,338,784,846,809,62,25
Canatha,3,266,520,784,761,731,-23,-53
Drepanum (Silicia),3,152,174,784,846,897,62,113
Carpentorate,3,204,282,784,809,836,25,52
Mesembria,3,220,287,784,797,832,13,48
Maronea,3,1096,1156,784,472,560,-312,-224
Comama,3,301,528,784,737,726,-47,-58
Aradus,3,367,546,784,692,718,-92,-66
Ercavica,3,105,263,784,897,847,113,63
Nasium,3,126,159,784,872,906,88,122
Curubis,3,308,485,784,729,744,-55,-40
Netum,3,120,140,784,875,922,91,138
Pella (Macedonia),3,80,159,784,928,906,144,122
Neviodunum,3,52,78,784,961,977,177,193
Neapolis (Syria Palestina),3,84,124,784,924,932,140,148
Chidibbia,3,373,765,784,690,652,-94,-132
Numantia,3,115,206,784,880,878,96,94
Ostra,3,75,123,784,936,934,152,150
Antiochia (Cilicia et Cyprus) (2),3,588,929,784,605,607,-179,-177
Olbasa,3,242,343,784,785,808,1,24
Hierapolis,3,217,504,784,799,736,15,-48
Zama Regia,3,258,404,784,766,777,-18,-7
Arva,3,170,325,784,827,814,43,30
Ascalon,3,189,217,784,816,868,32,84
Vetulonia,3,109,302,784,888,827,104,43
Fulfinium,3,249,368,784,776,794,-8,10
Siga,3,85,296,784,920,829,136,45
Segida,3,124,257,784,873,850,89,66
Arausio,3,314,511,784,725,734,-59,-50
Tarvenna,3,62,153,784,950,910,166,126
Tegea,3,572,832,784,611,629,-173,-155
Icosium,3,249,485,784,776,744,-8,-40
Caesarodunum,2,147,247,838,849,852,11,14
Teurnia,2,45,70,838,975,988,137,150
Thaenae,2,296,468,838,738,751,-100,-87
Maraci,2,279,471,838,752,750,-86,-88
Thasos,2,78,100,838,931,958,93,120
Aprustum,2,92,147,838,910,913,72,75
Rusuccuru,2,142,227,838,855,862,17,24
Rusazus,2,231,429,838,790,763,-48,-75
Lopsica,2,71,104,838,937,954,99,116
Madaba,2,127,220,838,870,866,32,28
Magnesia (Asia) (1),2,262,337,838,764,810,-74,-28
Lopodunum,2,37,64,838,991,992,153,154
Lucurgentum,2,31,79,838,998,976,160,138
Pupput,2,334,424,838,711,766,-127,-72
Amisus,2,182,284,838,822,835,-16,-3
Cynopolis,2,224,440,838,795,761,-43,-77
Phintias,2,25,40,838,1009,1009,171,171
Phocaea,2,62,64,838,950,992,112,154
Caudium,2,80,119,838,928,939,90,101
Philippopolis (Arabia),2,165,242,838,830,855,-8,17
Pella (Syria Palestina),2,434,618,838,667,691,-171,-147
Damascus,2,254,388,838,771,787,-67,-51
Numana,2,49,72,838,967,982,129,144
Noviodunum (Gallia Lugdunensis),2,66,100,838,944,958,106,120
Osca,2,41,130,838,983,928,145,90
Paros,2,156,239,838,840,858,2,20
Clupea,2,154,161,838,841,905,3,67
Palaepaphus,2,107,194,838,893,885,55,47
Orippo,2,43,148,838,978,911,140,73
Cyme,2,142,183,838,855,890,17,52
Norba,2,101,156,838,900,909,62,71
Aginnum,2,56,107,838,955,949,117,111
Abthungi,2,303,477,838,736,748,-102,-90
Vesontio,2,56,109,838,955,947,117,109
Olba,2,182,358,838,822,798,-16,-40
Amorium,2,67,109,838,941,947,103,109
Iasus,2,108,191,838,890,888,52,50
Mirobriga (Hispania Tarraconensis),2,42,88,838,981,967,143,129
Durobrivae (Britannia) (2),2,7,10,838,1038,1039,200,201
Dora,2,33,42,838,995,1007,157,169
Carcaso,2,89,148,838,916,911,78,73
Mopsuestia,2,269,336,838,759,811,-79,-27
Callet,2,416,653,838,672,681,-166,-157
Moridunum,2,21,33,838,1016,1014,178,176
Pollentia (Hispania Tarraconensis),2,280,400,838,750,781,-88,-57
Capitolias,2,154,176,838,841,896,3,58
Diana Veteranorum,2,349,500,838,706,739,-132,-99
Archelais,2,321,566,838,722,707,-116,-131
Tavium,2,95,213,838,907,871,69,33
Tentyris,2,387,422,838,685,769,-153,-69
Flavia Solva,2,14,24,838,1026,1021,188,183
Fidentia,2,67,105,838,941,952,103,114
Flaviobriga,2,86,141,838,919,920,81,82
Eryx,2,41,59,838,983,997,145,159
Acerrae,2,551,697,838,618,672,-220,-166
Iulia Traducta,2,19,19,838,1019,1025,181,187
Iuliobriga,2,61,180,838,952,893,114,55
Gadara,2,84,142,838,924,918,86,80
Irni,2,40,372,838,985,793,147,-45
Gunugu,2,164,351,838,831,803,-7,-35
Unknown (3),2,77,163,838,934,904,96,66
Urbana,2,87,141,838,918,920,80,82
Baiae,2,161,269,838,835,843,-3,5
Alabanda,2,293,307,838,740,823,-98,-15
Avedda,2,436,596,838,666,698,-172,-140
Agyrium,2,3,20,838,1044,1024,206,186
Seleucia (Cilicia et Cyprus),2,256,368,838,770,794,-68,-44
Segodunum,2,164,398,838,831,782,-7,-56
Samosata,2,48,93,838,970,962,132,124
Sicyon,2,140,166,838,857,902,19,64
Leptiminus,2,274,349,838,756,804,-82,-34
Suana,2,96,137,838,905,925,67,87
Igilgili,2,540,688,838,620,675,-218,-163
Aegae,2,169,320,838,828,816,-10,-22
Aeminium,2,66,165,838,944,903,106,65
Acruvium,2,13,13,838,1028,1037,190,199
Acraephia,1,1582,1627,914,399,485,-515,-429
Ad Sava,1,20,58,914,1018,998,104,84
Aegina,1,25,52,914,1009,1002,95,88
Aenus,1,216,388,914,800,787,-114,-127
Iatinum,1,53,74,914,959,981,45,67
Abitinae,1,77,107,914,934,949,20,35
Arsennaria,1,96,136,914,905,926,-9,12
Arycanda,1,132,333,914,866,812,-48,-102
Assus,1,27,36,914,1004,1012,90,98
Athribis,1,19,37,914,1019,1011,105,97
Augusta Ambianorum,1,84,180,914,924,893,10,-21
Augusta Cilicia,1,360,524,914,693,730,-221,-184
Solona,1,56,71,914,955,984,41,70
Statonia,1,13,31,914,1028,1016,114,102
Augusta Suessionum,1,138,263,914,858,847,-56,-67
Augusta Tricastinorum,1,16,27,914,1021,1018,107,104
Augustomagus,1,92,144,914,910,916,-4,2
Augustonemetum,1,14,15,914,1026,1034,112,120
Aunobari,1,46,101,914,973,957,59,43
Sexi,1,161,172,914,835,899,-79,-15
Side,1,52,71,914,961,984,47,70
Axati,1,164,181,914,831,892,-83,-22
Selinus,1,97,144,914,903,916,-11,2
Samaria,1,38,76,914,989,978,75,64
Samos,1,136,174,914,861,897,-53,-17
Scallabis,1,13,17,914,1028,1029,114,115
Bassiana (Pannonia Inferior),1,16,16,914,1021,1031,107,117
Taucheira,1,59,120,914,954,937,40,23
Aregenua,1,1986,2459,914,357,407,-557,-507
Bistua Nova,1,7,7,914,1038,1043,124,129
Bizye,1,287,308,914,743,822,-171,-92
Saetabis,1,102,183,914,899,890,-15,-24
Salamis,1,51,216,914,964,869,50,-45
Roda,1,49,61,914,967,994,53,80
Blera,1,30,53,914,999,1000,85,86
Cadyanda,1,47,102,914,972,955,58,41
Ptolemais (Aegyptus),1,605,605,914,601,694,-313,-220
Caesaromagus (Gallia Belgica),1,7,16,914,1038,1031,124,117
Apollonia (Sicilia),1,10,10,914,1034,1039,120,125
Apta,1,93,125,914,909,930,-5,16
Aquae Calidae,1,43,69,914,978,990,64,76
Termes,1,33,226,914,995,863,81,-51
Camarina,1,28,76,914,1003,978,89,64
Pitulum,1,250,271,914,774,841,-140,-73
Plataea,1,2514,4747,914,306,277,-608,-637
Pompeiopolis,1,114,159,914,881,906,-33,-8
Pons Saravi,1,8,9,914,1036,1041,122,127
Pheradi Maius,1,54,114,914,958,946,44,32
Pherae,1,53,91,914,959,964,45,50
Phoenice,1,8,15,914,1036,1034,122,120
Piraeus,1,119,215,914,877,870,-37,-44
Pistorium,1,45,96,914,975,960,61,46
Cenabum,1,66,197,914,944,883,30,-31
Pellene,1,60,70,914,953,988,39,74
Pharsalus,1,9,9,914,1035,1041,121,127
Ceramus,1,183,189,914,820,889,-94,-25
Aphroditopolis,1,85,92,914,920,963,6,49
Thisica,1,30,66,914,999,991,85,77
Choba,1,144,211,914,852,872,-62,-42
Cibalae,1,6,15,914,1042,1034,128,120
Claterna,1,50,192,914,966,886,52,-28
Cleitor,1,22,33,914,1014,1014,100,100
Paneas,1,26,58,914,1007,998,93,84
Panopolis,1,1169,1399,914,458,522,-456,-392
Colybrassus,1,110,202,914,886,880,-28,-34
Oenoanda,1,114,211,914,881,872,-33,-42
Orchomenus Minyeaus,1,90,105,914,913,952,-1,38
Oricus,1,35,61,914,993,994,79,80
Andautonia,1,63,87,914,948,969,34,55
Antinoopolis,1,26,51,914,1007,1003,93,89
Tius,1,114,270,914,881,842,-33,-72
Tlos,1,972,1552,914,490,498,-424,-416
Torone,1,7,24,914,1038,1021,124,107
Antiochia (Asia),1,49,60,914,967,996,53,82
Antiochia (Cilicia et Cyprus) (1),1,97,210,914,903,875,-11,-39
Ortoplinia,1,85,86,914,920,970,6,56
Numluli,1,39,72,914,987,982,73,68
Nysa,1,104,119,914,898,939,-16,25
Consoranni,1,13,17,914,1028,1029,114,115
Nicopolis (Cappadocia (et Galatia)),1,38,117,914,989,942,75,28
Neapolis (Africa Proconsularis),1,39,71,914,987,984,73,70
Nemetacum,1,21,21,914,1016,1023,102,109
Cyrrus,1,153,285,914,843,834,-71,-80
Diluntum,1,122,242,914,874,855,-40,-59
Dionysias,1,112,131,914,885,927,-29,13
Mylasa,1,106,142,914,895,918,-19,4
Memphis,1,78,124,914,931,932,17,18
Metapontum,1,35,35,914,993,1013,79,99
Mazaca,1,178,261,914,825,849,-89,-65
Mediolanum (Gallia Lugdunensis) (1),1,25,88,914,1009,967,95,53
Elaea,1,85,121,914,920,936,6,22
Amantia,1,36,43,914,992,1006,78,92
Ambracia,1,5,5,914,1043,1044,129,130
Tullum,1,16,16,914,1021,1031,107,117
Eleutheropolis,1,52,85,914,961,972,47,58
Enna,1,11,19,914,1032,1025,118,111
Lydai,1,108,116,914,890,945,-24,31
Lixus,1,40,118,914,985,941,71,27
Epidaurus,1,51,89,914,964,966,50,52
Erythrae,1,120,123,914,875,934,-39,20
Faventia,1,1133,1531,914,462,504,-452,-410
Lebadea,1,48,82,914,970,974,56,60
Leontini,1,25,27,914,1009,1018,95,104
Iuvavum,1,11,12,914,1032,1038,118,124
Lacimurga,1,42,53,914,981,1000,67,86
Laertes,1,730,1235,914,559,543,-355,-371
Lambiridi,1,89,139,914,916,923,2,9
Laranda,1,117,117,914,878,942,-36,28
Ugia,1,46,94,914,973,961,59,47
Unknown (2),1,70,129,914,938,929,24,15
Gabala,1,150,272,914,848,839,-66,-75
Genusia,1,24,45,914,1013,1005,99,91
Germa,1,116,195,914,879,884,-35,-30
Hadrianopolis (Achaea),1,22,25,914,1014,1020,100,106
Idebessus,1,106,107,914,895,949,-19,35
Iluro,1,158,242,914,839,855,-75,-59
Vibinum,1,27,38,914,1004,1010,90,96
Uzelis,1,307,503,914,731,737,-183,-177
Vegium,1,64,117,914,947,942,33,28
Aezanis,1,30,225,914,999,865,85,-49
Agedincum,1,30,49,914,999,1004,85,90
Halicarnassus,1,101,102,914,900,955,-14,41
Heraclea (Macedonia),1,78,86,914,931,970,17,56
Hermopolis Magna,1,444,507,914,657,735,-257,-179
Hierapytna,1,15,19,914,1024,1025,110,111
Hippo Diarrhytus,1,43,80,914,978,975,64,61
Hippus,1,1209,1988,914,454,447,-460,-467
Acholla,1,313,489,914,726,743,-188,-171
Xanthus,1,108,199,914,890,882,-24,-32
Abbir Maius,1,633,669,914,595,679,-319,-235
Xois,1,290,346,914,741,807,-173,-107
