inscription,letter_cons,letter_intr
0.5590,0.5028,0.5298
0.5557,0.5076,0.5012
0.5574,0.4746,0.5349
0.5453,0.4990,0.5179
0.5664,0.4861,0.5356
0.5614,0.5031,0.5050
0.5626,0.4835,0.5196
0.5523,0.5243,0.4959
0.5635,0.5282,0.5030
0.5581,0.4769,0.5053
0.5574,0.5110,0.5064
0.5489,0.4954,0.5142
0.5556,0.5152,0.4978
0.5632,0.5104,0.4881
0.5669,0.4819,0.5363
0.5598,0.4956,0.4937
0.5584,0.4644,0.5368
0.5490,0.5263,0.5129
0.5667,0.4911,0.5000
0.5618,0.4711,0.4712
0.5590,0.5246,0.5282
0.5646,0.4751,0.5053
0.5566,0.5248,0.5077
0.5536,0.5350,0.5034
0.5605,0.5222,0.4836
0.5532,0.5110,0.5030
0.5661,0.5266,0.4926
0.5649,0.5207,0.5166
0.5595,0.5198,0.5032
0.5692,0.5023,0.5161
0.5632,0.4952,0.5409
0.5582,0.5337,0.5045
0.5564,0.4890,0.5147
0.5511,0.5478,0.5024
0.5564,0.4893,0.4678
0.5590,0.4752,0.5329
0.5460,0.4931,0.5095
0.5644,0.5022,0.4740
0.5528,0.5175,0.5144
0.5577,0.5339,0.5154
0.5541,0.5321,0.5318
0.5640,0.5009,0.5221
0.5596,0.5159,0.5196
0.5682,0.5309,0.5018
0.5644,0.4863,0.4855
0.5535,0.5200,0.4625
0.5582,0.5357,0.5449
0.5686,0.4827,0.5011
0.5612,0.4995,0.5236
0.5641,0.5026,0.5231
0.5596,0.5246,0.5197
0.5606,0.5041,0.5045
0.5481,0.5166,0.4934
0.5691,0.4946,0.4968
0.5653,0.4754,0.5537
0.5597,0.5211,0.4916
0.5589,0.5121,0.5101
0.5522,0.5216,0.5135
0.5607,0.5303,0.5146
0.5606,0.5097,0.5174
0.5535,0.5172,0.4942
0.5571,0.5014,0.5201
0.5362,0.5078,0.5200
0.5672,0.5031,0.4769
0.5625,0.4901,0.4841
0.5713,0.4976,0.4880
0.5665,0.5155,0.5181
0.5552,0.4930,0.5257
0.5540,0.5311,0.4963
