threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 25,le25,240.0,245.0,242.5,374.47196621392845
<= 25,le25,245.0,250.0,247.5,314.4614934741079
<= 25,le25,250.0,255.0,252.5,401.50227015483875
<= 25,le25,255.0,260.0,257.5,286.64248653075884
<= 25,le25,260.0,265.0,262.5,109.39602544798197
<= 25,le25,265.0,270.0,267.5,120.79373440569093
<= 25,le25,270.0,275.0,272.5,187.20545185490838
<= 25,le25,275.0,280.0,277.5,180.95095689334823
<= 25,le25,280.0,285.0,282.5,196.9292035291177
<= 25,le25,285.0,290.0,287.5,128.19022635461187
<= 25,le25,290.0,295.0,292.5,151.40627563668886
<= 25,le25,295.0,300.0,297.5,205.34994151352006
<= 25,le25,300.0,305.0,302.5,188.596459395363
<= 25,le25,305.0,310.0,307.5,298.8668669715143
<= 25,le25,310.0,315.0,312.5,190.066725636204
<= 25,le25,315.0,320.0,317.5,123.15586409686694
<= 25,le25,320.0,325.0,322.5,133.49222218494327
<= 25,le25,325.0,330.0,327.5,111.54611576985852
<= 25,le25,330.0,335.0,332.5,105.2927566940321
<= 25,le25,335.0,340.0,337.5,144.94767819133648
<= 25,le25,340.0,345.0,342.5,124.34144692279199
<= 25,le25,345.0,350.0,347.5,128.4289611629378
<= 50,le50,-50.0,-45.0,-47.5,263.7704784285087
<= 50,le50,-45.0,-40.0,-42.5,323.48647256270465
<= 50,le50,-40.0,-35.0,-37.5,307.4064705550086
<= 50,le50,-35.0,-30.0,-32.5,261.2976558135731
<= 50,le50,-30.0,-25.0,-27.5,404.11911665632124
<= 50,le50,-25.0,-20.0,-22.5,472.2529606400461
<= 50,le50,-20.0,-15.0,-17.5,464.5035865842027
<= 50,le50,-15.0,-10.0,-12.5,539.0138863823056
<= 50,le50,-10.0,-5.0,-7.5,675.9011876010509
<= 50,le50,-5.0,0.0,-2.5,680.9545727120696
<= 50,le50,0.0,5.0,2.5,1037.0974914482676
<= 50,le50,5.0,10.0,7.5,1213.8376118369515
<= 50,le50,10.0,15.0,12.5,1207.7249646473956
<= 50,le50,15.0,20.0,17.5,1159.1744495428347
