province,urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Africa proconsularis,Theveste,286,118.37062937062937,109.23540942035258,127.16049722202564,,,100.0,,,,,0.0,0.0,0.0,0.0
Dalmatia,Narona,284,139.5211267605634,128.9180427427978,151.9875645677949,,,129.0,100.0,150.0,,,0.0,0.0,0.0,0.0
Macedonia,Philippi,278,204.9388489208633,192.265632211183,217.42479898486698,,,300.0,,,,,0.0,0.0,0.0,0.0
Pannonia inferior,Sirmium,276,125.56159420289855,114.73983014551173,137.15942028985506,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Venafrum,274,88.62408759124088,82.51653174662943,95.38121898419726,,,100.0,,,,,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,Beneventum,272,74.38970588235294,68.63659363891809,80.33600552896652,,,70.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Amiternum,270,80.21111111111111,74.83379103448907,86.08230807694656,,,70.0,,,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,Altinum,264,69.45454545454545,64.63960220359357,75.43378457747009,,,50.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Tibur,263,61.90494296577947,55.80479740084907,69.02976415717495,,,50.0,,,,,0.0,0.0,0.0,0.0
Liguria / Regio IX,,259,86.47490347490347,80.16149951781324,93.16371903153127,,,100.0,,,,,0.0,0.0,0.0,0.0
Bruttium et Lucania / Regio III,,259,94.37451737451738,88.11991485676401,100.77750069165205,,,100.0,,,,,0.0,0.0,0.0,0.0
Macedonia,,258,157.52325581395348,144.9942420771994,170.4793056621207,,,150.0,,,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,Concordia,258,73.31395348837209,68.52212741726305,79.27815635190291,,,60.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Tarracina,258,88.04263565891473,82.61520017325013,93.57437263219865,,,100.0,,,,,0.0,0.0,0.0,0.0
Transpadana / Regio XI,Comum,255,131.93725490196078,124.25323597061134,139.7455256747749,,,100.0,,,,,0.0,0.0,0.0,0.0
Lugudunensis,,252,113.36111111111111,103.83673834441899,122.51368408108029,,,100.0,,,,,0.0,0.0,0.0,0.0
Moesia inferior,Novae (Moesia Inferior),251,99.84860557768924,90.47573812133476,110.43954514699706,,,100.0,,,,,0.0,0.0,0.0,0.0
Etruria / Regio VII,Perusia,247,54.56275303643725,46.611336032388664,64.28825114305886,,,30.0,23.0,42.0,,,0.0,0.0,0.0,0.0
Belgica,Durocortorum,241,137.50207468879668,127.10921366020555,149.1020456102873,,,130.0,,,,,0.0,0.0,0.0,0.0
