width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
25 < width <= 50,10.0,15.0,12.5,951.0143337048871,34716
25 < width <= 50,15.0,20.0,17.5,873.7965702491501,34716
25 < width <= 50,20.0,25.0,22.5,867.7621393543121,34716
25 < width <= 50,25.0,30.0,27.5,869.73603027961,34716
25 < width <= 50,30.0,35.0,32.5,879.098631240162,34716
25 < width <= 50,35.0,40.0,37.5,882.041103188874,34716
25 < width <= 50,40.0,45.0,42.5,986.6993564239958,34716
25 < width <= 50,45.0,50.0,47.5,1093.9511631449188,34716
25 < width <= 50,50.0,55.0,52.5,769.1712641489505,34716
25 < width <= 50,55.0,60.0,57.5,692.167812480838,34716
25 < width <= 50,60.0,65.0,62.5,686.8203910104676,34716
25 < width <= 50,65.0,70.0,67.5,703.9542443522673,34716
25 < width <= 50,70.0,75.0,72.5,607.7269351806087,34716
25 < width <= 50,75.0,80.0,77.5,569.9417973935368,34716
25 < width <= 50,80.0,85.0,82.5,515.4808814968108,34716
25 < width <= 50,85.0,90.0,87.5,520.9023858210076,34716
25 < width <= 50,90.0,95.0,92.5,506.2300297008718,34716
25 < width <= 50,95.0,100.0,97.5,468.2832501064695,34716
25 < width <= 50,100.0,105.0,102.5,362.0667784790545,34716
25 < width <= 50,105.0,110.0,107.5,341.89824315381156,34716
25 < width <= 50,110.0,115.0,112.5,343.24730262915193,34716
25 < width <= 50,115.0,120.0,117.5,347.71990676364607,34716
25 < width <= 50,120.0,125.0,122.5,352.8270702006047,34716
25 < width <= 50,125.0,130.0,127.5,350.8856739608084,34716
25 < width <= 50,130.0,135.0,132.5,368.2548743246927,34716
25 < width <= 50,135.0,140.0,137.5,372.7956421109254,34716
25 < width <= 50,140.0,145.0,142.5,364.36834734122095,34716
25 < width <= 50,145.0,150.0,147.5,364.8524713615636,34716
25 < width <= 50,150.0,155.0,152.5,351.78826797780846,34716
25 < width <= 50,155.0,160.0,157.5,349.3474569050056,34716
25 < width <= 50,160.0,165.0,162.5,352.2703466921312,34716
25 < width <= 50,165.0,170.0,167.5,350.5007650995861,34716
25 < width <= 50,170.0,175.0,172.5,339.99251199460826,34716
25 < width <= 50,175.0,180.0,177.5,338.7345965056571,34716
25 < width <= 50,180.0,185.0,182.5,338.9272227384812,34716
25 < width <= 50,185.0,190.0,187.5,337.5227862346399,34716
25 < width <= 50,190.0,195.0,192.5,343.5869596045535,34716
25 < width <= 50,195.0,200.0,197.5,356.04231793151456,34716
25 < width <= 50,200.0,205.0,202.5,263.2971524397362,34716
25 < width <= 50,205.0,210.0,207.5,240.02477514672222,34716
25 < width <= 50,210.0,215.0,212.5,240.36529166447332,34716
25 < width <= 50,215.0,220.0,217.5,242.0850095892677,34716
25 < width <= 50,220.0,225.0,222.5,241.63787055137834,34716
25 < width <= 50,225.0,230.0,227.5,242.43726353227177,34716
25 < width <= 50,230.0,235.0,232.5,216.87751722848685,34716
25 < width <= 50,235.0,240.0,237.5,193.55340933537605,34716
25 < width <= 50,240.0,245.0,242.5,189.4676313701202,34716
25 < width <= 50,245.0,250.0,247.5,189.3658443268994,34716
25 < width <= 50,250.0,255.0,252.5,173.9497503173992,34716
25 < width <= 50,255.0,260.0,257.5,170.07808928937956,34716
25 < width <= 50,260.0,265.0,262.5,168.65161567549103,34716
25 < width <= 50,265.0,270.0,267.5,168.69899442002117,34716
25 < width <= 50,270.0,275.0,272.5,153.78393704680195,34716
25 < width <= 50,275.0,280.0,277.5,147.3437981541717,34716
25 < width <= 50,280.0,285.0,282.5,146.19669304390084,34716
25 < width <= 50,285.0,290.0,287.5,150.71601998087823,34716
25 < width <= 50,290.0,295.0,292.5,369.3202923376183,34716
25 < width <= 50,295.0,300.0,297.5,425.6481432013958,34716
25 < width <= 50,300.0,305.0,302.5,477.7038318945914,34716
25 < width <= 50,305.0,310.0,307.5,495.201272126111,34716
25 < width <= 50,310.0,315.0,312.5,500.2839753378831,34716
25 < width <= 50,315.0,320.0,317.5,501.55698661768173,34716
25 < width <= 50,320.0,325.0,322.5,501.5368008313222,34716
25 < width <= 50,325.0,330.0,327.5,413.52739989616,34716
25 < width <= 50,330.0,335.0,332.5,390.01250029195927,34716
25 < width <= 50,335.0,340.0,337.5,383.43783660697943,34716
25 < width <= 50,340.0,345.0,342.5,374.1011058188657,34716
25 < width <= 50,345.0,350.0,347.5,374.0919523004683,34716
50 < width <= 100,-50.0,-45.0,-47.5,73.60291776483803,66641
50 < width <= 100,-45.0,-40.0,-42.5,74.58084336597591,66641
50 < width <= 100,-40.0,-35.0,-37.5,76.96881862869935,66641
50 < width <= 100,-35.0,-30.0,-32.5,77.4151030922522,66641
50 < width <= 100,-30.0,-25.0,-27.5,218.01287419148917,66641
50 < width <= 100,-25.0,-20.0,-22.5,254.9951301484727,66641
