nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
14,405,1,392,other,0.8597,9.120259744997538e-06,108943,0.9935884573992667
14,339,1,326,other,1.0,9.120259744997538e-06,108944,0.9935975776590117
14,270,1,257,other,1.0,9.120259744997538e-06,108945,0.9936066979187568
14,101,1,88,other,1.0,9.120259744997538e-06,108946,0.9936158181785018
68,96,1,29,reign:Flavian,1.0,9.120259744997538e-06,108947,0.9936249384382467
237,250,1,14,other,1.0,9.120259744997538e-06,108948,0.9936340586979917
237,249,1,13,other,1.0,9.120259744997538e-06,108949,0.9936431789577367
236,361,1,126,other,0.9127,9.120259744997538e-06,108950,0.9936522992174817
236,250,1,15,other,1.0,9.120259744997538e-06,108951,0.9936614194772267
235,254,1,20,other,1.0,9.120259744997538e-06,108952,0.9936705397369717
235,240,1,6,other,1.0,9.120259744997538e-06,108953,0.9936796599967167
235,237,1,3,other,1.0,9.120259744997538e-06,108954,0.9936887802564617
234,238,1,5,other,1.0,9.120259744997538e-06,108955,0.9936979005162067
233,260,1,28,other,1.0,9.120259744997538e-06,108956,0.9937070207759517
233,245,1,13,other,1.0,9.120259744997538e-06,108957,0.9937161410356967
232,250,1,19,other,1.0,9.120259744997538e-06,108958,0.9937252612954417
67,150,1,84,other,1.0,9.120259744997538e-06,108959,0.9937343815551867
67,70,1,4,other,1.0,9.120259744997538e-06,108960,0.9937435018149317
65,150,1,86,other,1.0,9.120259744997538e-06,108961,0.9937526220746767
238,400,1,163,other,0.6933,9.120259744997538e-06,108962,0.9937617423344217
238,305,1,68,other,1.0,9.120259744997538e-06,108963,0.9937708625941667
238,275,1,38,other,1.0,9.120259744997538e-06,108964,0.9937799828539117
238,271,1,34,other,1.0,9.120259744997538e-06,108965,0.9937891031136566
238,268,1,31,other,1.0,9.120259744997538e-06,108966,0.9937982233734016
238,249,1,12,other,1.0,9.120259744997538e-06,108967,0.9938073436331467
238,243,1,6,other,1.0,9.120259744997538e-06,108968,0.9938164638928917
238,240,1,3,other,1.0,9.120259744997538e-06,108969,0.9938255841526367
237,276,1,40,other,1.0,9.120259744997538e-06,108970,0.9938347044123816
237,255,1,19,other,1.0,9.120259744997538e-06,108971,0.9938438246721266
15,43,1,29,other,1.0,9.120259744997538e-06,108972,0.9938529449318717
15,23,1,9,other,1.0,9.120259744997538e-06,108973,0.9938620651916167
15,19,1,5,other,1.0,9.120259744997538e-06,108974,0.9938711854513617
64,75,1,12,other,1.0,9.120259744997538e-06,108975,0.9938803057111066
239,244,1,6,other,1.0,9.120259744997538e-06,108976,0.9938894259708516
239,241,1,3,other,1.0,9.120259744997538e-06,108977,0.9938985462305967
-48,-48,1,1,year_precise,1.0,9.120259744997538e-06,108978,0.9939076664903417
-49,70,1,120,bc_ad_boundary,1.0,9.120259744997538e-06,108979,0.9939167867500867
-49,14,1,64,bc_ad_boundary,1.0,9.120259744997538e-06,108980,0.9939259070098316
