LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
505863,EDCS-16200831,HD025384,Neapolis (Macedonia),894133,Palaestina,Iudaea,Palaestina,Macedonia,23.0
505864,EDCS-15200172,HD021753,Neapolis (Macedonia),894133,Palaestina,Iudaea,Palaestina,Macedonia,23.0
520067,EDCS-30000452,HD053543,Neapolis (Macedonia),894133,Sardinia,Sardinia,Sardinia,Macedonia,23.0
521938,EDCS-10701745,HD015323,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
522101,EDCS-10000465,HD015320,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
522103,EDCS-10000467,HD015329,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
522104,EDCS-10000468,HD015326,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
522107,EDCS-10900082,HD015332,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
522420,EDCS-10900075,HD006521,Neapolis (Macedonia),894133,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Macedonia,23.0
453315,EDCS-56100866,HD055324,Nemausus,148142,Aquitani(c)a,Narbonensis,Aquitani(c)a,Gallia Narbonensis,61.0
453316,EDCS-56100867,HD055326,Nemausus,148142,Aquitani(c)a,Narbonensis,Aquitani(c)a,Gallia Narbonensis,61.0
523236,,HD064522,Nicopolis (Achaea),531013,,Epirus,Epirus,Achaia,9.0
518639,EDCS-08300082,HD002351,Nomentum,422986,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,159.0
476765,EDCS-09500305,HD081959,Noviodunum (Germania Superior),109216,Gallia Narbonensis,Germania superior,Gallia Narbonensis,Germania Superior,49.0
478449,EDCS-11100896,HD068221,Noviomagus (Britannia (Inferior et Superior)),79622,Germania inferior,Germania inferior,Germania Inferior,Britannia,19.0
516406,EDCS-18100943,HD066433,Noviomagus (Germania Inferior),98921,Roma,Germania inferior,Roma,Germania Inferior,160.0
457728,EDCS-10601147,HD046978,Noviomagus (Germania Superior),109224,Belgica,Belgica,Belgica,Germania Superior,48.0
518079,EDCS-10800157,HD014757,Nursia,413229,Roma,Samnium (Regio IV),Roma,Samnium / Regio IV,174.0
518875,EDCS-07000401,HD008291,Nursia,413229,Roma,Samnium (Regio IV),Roma,Samnium / Regio IV,174.0
491241,EDCS-11900020,HD019854,Ocriculum,413231,Latium et Campania / Regio I,Umbria (Regio VI),Latium et Campania / Regio I,Umbria / Regio VI,85.0
518081,EDCS-21500025,HD000586,Ocriculum,413231,Roma,Umbria (Regio VI),Roma,Umbria / Regio VI,85.0
465578,EDCS-11200791,HD019564,Oescus,216907,Dacia,Moesia inferior,Dacia,Moesia Inferior,127.0
487618,EDCS-05600299,HD017488,Ossigi,265994,Hispania citerior,Baetica,Hispania Citerior,Baetica,30.0
447858,EDCS-14400007,HD021555,Ostia,422995,Africa proconsularis,Latium et Campania (Regio I),Africa Proconsularis,Latium et Campania / Regio I,2644.0
516320,EDCS-24701280,HD027424,Ostia,422995,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,2644.0
516523,EDCS-17201707,HD002508,Ostia,422995,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,2644.0
494598,EDCS-03300861,HD051008,Parlais,256453,Lycia et Pamphylia,Lycia et Pamphylia,Lycia et Pamphylia,Baetica,54.0
502467,EDCS-10000404,HD068790,Poetovio,197446,Noricum,Pannonia superior,Noricum,Pannonia Superior,381.0
516460,EDCS-19600320,HD014703,Pompeii,433032,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,4510.0
516731,EDCS-20403351,HD021896,Praeneste,423013,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,345.0
465608,EDCS-11300135,HD019597,Ratiaria,511234,Dacia,Dacia,Dacia,Moesia Superior,109.0
