cell_id,alpha_true,mean_alpha_median,median_alpha_median,std_alpha_median,n_reps,shape_name,tier_weights_name,n,bias
shape=flat_baseline_alpha=0.30_tier=century_heavy_N=2000,0.3,0.3299641829737718,0.3067922217326591,0.13896850952971415,100,flat_baseline,century_heavy,2000,0.02996418297377179
shape=flat_baseline_alpha=0.30_tier=century_heavy_N=50000,0.3,0.29665935103335667,0.2988823264527388,0.03161107419571886,100,flat_baseline,century_heavy,50000,-0.0033406489666433226
shape=flat_baseline_alpha=0.30_tier=half_century_heavy_N=10000,0.3,0.3057899731183362,0.2995199113542404,0.04516867018193242,100,flat_baseline,half_century_heavy,10000,0.0057899731183362335
shape=flat_baseline_alpha=0.30_tier=half_century_heavy_N=2000,0.3,0.40163001020260064,0.3746027330303238,0.11020698555275585,100,flat_baseline,half_century_heavy,2000,0.10163001020260065
shape=flat_baseline_alpha=0.30_tier=half_century_heavy_N=50000,0.3,0.29432056867993744,0.2935175749696616,0.035785368402448545,100,flat_baseline,half_century_heavy,50000,-0.005679431320062545
shape=flat_baseline_alpha=0.30_tier=pilot_proxy_N=10000,0.3,0.282113423187165,0.27747844757030327,0.08368067587213225,100,flat_baseline,pilot_proxy,10000,-0.01788657681283501
shape=flat_baseline_alpha=0.30_tier=pilot_proxy_N=2000,0.3,0.2900046083153132,0.28189344021598767,0.11379851384643075,100,flat_baseline,pilot_proxy,2000,-0.009995391684686772
shape=flat_baseline_alpha=0.30_tier=pilot_proxy_N=50000,0.3,0.30143135846473945,0.29526223632277326,0.037702385540204754,100,flat_baseline,pilot_proxy,50000,0.0014313584647394628
shape=flat_baseline_alpha=0.30_tier=reign_heavy_N=10000,0.3,0.31867451854936546,0.31136028460383014,0.04821533139630843,100,flat_baseline,reign_heavy,10000,0.01867451854936547
shape=flat_baseline_alpha=0.30_tier=reign_heavy_N=2000,0.3,0.3980554277072627,0.38759214616584015,0.09535021060651994,100,flat_baseline,reign_heavy,2000,0.09805542770726272
shape=flat_baseline_alpha=0.30_tier=reign_heavy_N=50000,0.3,0.29804405882055357,0.29627138873032666,0.03345846022032463,100,flat_baseline,reign_heavy,50000,-0.0019559411794464188
shape=flat_baseline_alpha=0.30_tier=uniform_N=10000,0.3,0.2829061215652174,0.2785737214514209,0.0628269303959099,100,flat_baseline,uniform,10000,-0.017093878434782606
shape=flat_baseline_alpha=0.30_tier=uniform_N=2000,0.3,0.3291274371301688,0.3138656280999145,0.10272149739313369,100,flat_baseline,uniform,2000,0.0291274371301688
shape=flat_baseline_alpha=0.30_tier=uniform_N=50000,0.3,0.2910637776264007,0.2928075180176084,0.03222805616012766,100,flat_baseline,uniform,50000,-0.008936222373599312
shape=flat_baseline_alpha=0.50_tier=century_heavy_N=10000,0.5,0.47030472772491194,0.4754535883137303,0.08068928892373112,100,flat_baseline,century_heavy,10000,-0.029695272275088058
shape=flat_baseline_alpha=0.50_tier=century_heavy_N=2000,0.5,0.5063259242867221,0.4892318518311759,0.1586799016177921,100,flat_baseline,century_heavy,2000,0.006325924286722073
shape=flat_baseline_alpha=0.50_tier=century_heavy_N=50000,0.5,0.4917265936456207,0.49039027414592723,0.0378492934813,100,flat_baseline,century_heavy,50000,-0.008273406354379287
shape=flat_baseline_alpha=0.50_tier=half_century_heavy_N=10000,0.5,0.5002380830282381,0.48966633908378177,0.06737086667741742,100,flat_baseline,half_century_heavy,10000,0.0002380830282381341
shape=flat_baseline_alpha=0.50_tier=half_century_heavy_N=2000,0.5,0.5613418503283342,0.5340366153703735,0.11828336939742787,100,flat_baseline,half_century_heavy,2000,0.06134185032833417
shape=flat_baseline_alpha=0.50_tier=half_century_heavy_N=50000,0.5,0.49943552170519717,0.49731542472581236,0.03720211340012329,100,flat_baseline,half_century_heavy,50000,-0.0005644782948028282
shape=flat_baseline_alpha=0.50_tier=pilot_proxy_N=10000,0.5,0.4885391245511995,0.4836281777285697,0.08314079357019562,100,flat_baseline,pilot_proxy,10000,-0.011460875448800478
shape=flat_baseline_alpha=0.50_tier=pilot_proxy_N=2000,0.5,0.4544914196177713,0.4551269851015306,0.18271927317919748,100,flat_baseline,pilot_proxy,2000,-0.045508580382228714
shape=flat_baseline_alpha=0.50_tier=pilot_proxy_N=50000,0.5,0.5035956960050235,0.497954419923348,0.040051357321553,100,flat_baseline,pilot_proxy,50000,0.0035956960050235187
shape=flat_baseline_alpha=0.50_tier=reign_heavy_N=10000,0.5,0.506861022250527,0.5021926358917744,0.06295018701203649,100,flat_baseline,reign_heavy,10000,0.0068610222505269824
shape=flat_baseline_alpha=0.50_tier=reign_heavy_N=2000,0.5,0.5557156727308041,0.5313330164281501,0.10102521199853658,100,flat_baseline,reign_heavy,2000,0.05571567273080413
shape=flat_baseline_alpha=0.50_tier=reign_heavy_N=50000,0.5,0.49636808294613016,0.4979299053163086,0.03487808072986649,100,flat_baseline,reign_heavy,50000,-0.0036319170538698375
shape=flat_baseline_alpha=0.50_tier=uniform_N=10000,0.5,0.49905613285057915,0.49744895965239133,0.09258518561766874,100,flat_baseline,uniform,10000,-0.0009438671494208517
shape=flat_baseline_alpha=0.50_tier=uniform_N=2000,0.5,0.4936811451757935,0.4766785758090284,0.12682492534283712,100,flat_baseline,uniform,2000,-0.006318854824206521
shape=flat_baseline_alpha=0.50_tier=uniform_N=50000,0.5,0.49858223890382675,0.5004646577682106,0.03827693640302356,100,flat_baseline,uniform,50000,-0.0014177610961732534
shape=flat_baseline_alpha=0.70_tier=century_heavy_N=10000,0.7,0.6903895812992461,0.682332677633041,0.09661074691782102,100,flat_baseline,century_heavy,10000,-0.009610418700753853
shape=flat_baseline_alpha=0.70_tier=century_heavy_N=2000,0.7,0.6478622693704268,0.6605495611918625,0.14808377118866017,100,flat_baseline,century_heavy,2000,-0.052137730629573165
shape=flat_baseline_alpha=0.70_tier=century_heavy_N=50000,0.7,0.6961284117266541,0.6944797171085483,0.03483908974737646,100,flat_baseline,century_heavy,50000,-0.003871588273345883
shape=flat_baseline_alpha=0.70_tier=half_century_heavy_N=10000,0.7,0.7113943882076563,0.7053230801212635,0.08001446261383688,100,flat_baseline,half_century_heavy,10000,0.01139438820765637
shape=flat_baseline_alpha=0.70_tier=half_century_heavy_N=2000,0.7,0.7370720441990335,0.7435923725392202,0.10460456328274763,100,flat_baseline,half_century_heavy,2000,0.03707204419903354
shape=flat_baseline_alpha=0.70_tier=half_century_heavy_N=50000,0.7,0.698566941426551,0.6942051934263737,0.03354371861925681,100,flat_baseline,half_century_heavy,50000,-0.0014330585734489976
